Категория,Услуга,Ссылка,Результат оказания услуги
Семья,Аннулирование записей актов гражданского состояния,https://egov.kz/cms/ru/online-services/for_citizen/pass30-2_mu,"Результат оказания услуги
При аннулировании записи акта гражданского состояния по заявлению заинтересованных лиц, а также на основании решения суда – ответ регистрирующего органа об аннулировании записи акта гражданского состояния.
При аннулировании актовых записей об установлении отцовства, усыновлении (удочерении) (c восстановлением первично сформированного индивидуально идентификационного номера), о перемене имени, фамилии и отчества - повторное свидетельство о рождении с первоначальными данными, при необходимости справка о рождении.
При аннулировании актовой записи о расторжении брака (супружества) - свидетельство о заключении соответствующего брака (супружества) либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная когда направляется справка о государственной регистрации акта гражданского состояния, ответ регистрирующего органа об аннулировании записи акта гражданского состояния или мотивированный отказ при подаче заявления через портал."
Семья,"Внесение изменений, дополнений и исправлений в записи актов гражданского состояния",https://egov.kz/cms/ru/online-services/for_citizen/pass192_mu,"Результат оказания услуги
1. Повторное свидетельство о рождении с внесенными изменениями, дополнениями и исправлениями.
2. Повторное свидетельство о заключении брака с внесенными изменениями, дополнениями и исправлениями.
3. Повторное свидетельство о расторжении брака с внесенными изменениями, дополнениями и исправлениями."
Семья,Возмещение затрат на обучение на дому детей с инвалидностью,https://egov.kz/cms/ru/online-services/for_citizen/pass173_mtszn,"Результат оказания услуги
Уведомление о назначении пособия."
Семья,Восстановление записей актов гражданского состояния,https://egov.kz/cms/ru/online-services/for_citizen/pass021_mu,"Результат оказания услуги
Свидетельство или справка о государственной регистрации акта гражданского состояния мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная когда направляется справка о государственной регистрации акта гражданского состояния или мотивированный отказ при подаче заявления через портал."
Семья,Выдача справок для распоряжения имуществом несовершеннолетних,https://egov.kz/cms/ru/online-services/for_citizen/207pass_mon,"Результат оказания услуги
Справка для распоряжения имуществом несовершеннолетних детей либо мотивированный ответ об отказе в оказании государственной услуги."
Семья,Выдача справок по опеке и попечительству,https://egov.kz/cms/ru/online-services/for_citizen/206pass_mon,"Результат оказания услуги
Справка об опеке и попечительству либо мотивированный ответ об отказе в оказании государственной услуги."
Семья,Государственная регистрация заключения брака (супружества) за рубежом,https://egov.kz/cms/ru/online-services/for_citizen/pass33-4_mid,"Результат оказания услуги
Свидетельство о заключении брака (супружества) либо мотивированный ответ об отказе в оказании государственной услуги."
Семья,Государственная регистрация расторжения брака (супружества) за рубежом,https://egov.kz/cms/ru/online-services/for_citizen/pass33-5_mid,"Результат оказания услуги
Свидетельство о расторжении брака (супружества) либо мотивированный ответ об отказе в оказании государственной услуги."
Семья,Государственная регистрация рождения ребенка за рубежом,https://egov.kz/cms/ru/online-services/for_citizen/pass33-2_mid,"Результат оказания услуги
Свидетельство о рождении либо мотивированный ответ об отказе в оказании государственной услуги."
Семья,Заявление на заключение брака/регистрация брака,https://egov.kz/cms/ru/online-services/for_citizen/e_027,"Результат оказания услуги
Свидетельство о государственной регистрации заключения брака (супружества), повторное свидетельство о заключении брака (супружества) с внесенными изменениями, дополнениями и исправлениями либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная, цифровой документ, сформированный в сервисе цифровых документов."
Семья,Композитная услуга «Рождение ребенка»,https://egov.kz/cms/ru/online-services/for_citizen/composite,"Результат оказания услуги
Получение свидетельства о регистрации рождения либо мотивированный ответ об отказе.
Получение уведомления о назначении (или об отказе) пособия на рождение ребенка."
Семья,Корректировка актов РАГС,https://egov.kz/cms/ru/online-services/for_citizen/pass_sr18,"Результат оказания услуги
Уведомление об актуализации сведений в ИС ЗАГС или письменный мотивированный ответ об отказе в оказании государственной услуги"
Семья,"Назначение, возврат и размер единовременной денежной выплаты в связи с усыновлением ребенка-сироты и (или) ребенка, оставшегося без попечения родителей",https://egov.kz/cms/ru/online-services/for_citizen/pass82_mon,"Результат оказания услуги
Решение о назначении единовременной денежной выплаты в связи с усыновлением ребенка-сироты и (или) ребенка, оставшегося без попечения родителей, либо мотивированный ответ об отказе в оказании государственной услуги."
Семья,Передача ребенка (детей) на воспитание в приемную семью и назначение выплаты денежных средств на их содержание,https://egov.kz/cms/ru/online-services/for_citizen/pass82-1_mon,"Результат оказания услуги
Уведомление о заключении договора о передаче ребенка (детей) на воспитание в приемную семью и решение о назначении выплаты денежных средств на их содержание либо мотивированный ответ об отказе в оказании государственной услуги."
Семья,"Передача ребенка (детей) на патронатное воспитание и назначение выплаты денежных средств на содержание ребенка (детей), переданного патронатным воспитателям",https://egov.kz/cms/ru/online-services/for_citizen/pass77_mon,"Результат оказания услуги
Уведомление о заключении договора о передаче ребенка (детей) на патронатное воспитание и решение о назначении денежных средств, выделяемых патронатным воспитателям на содержание ребенка (детей) либо мотивированный ответ об отказе в оказании государственной услуги."
Семья,Подача заявки на выдачу повторного свидетельства о смерти,https://egov.kz/cms/ru/online-services/for_citizen/pass220_mu,"Результат оказания услуги
Повторное свидетельство или справки о государственной регистрации актов гражданского состояния либо мотивированный ответ об отказе в оказании государственной услуги.
Форма предоставления результата оказания государственной услуги: бумажная, электронная, цифровой документ, сформированный в сервисе цифровых документов."
